Temples,Country,Points,Change,Maha Big Books,Big Books,Medium Books,Small Books,Mags,BTG Subs,Full Sets,Latitude,Longitude,Year
Rio,de,Janeiro,Bra,2452.50,146,136,365,236,6790,0,0,0,-23.3233727,-46.7294577,2013
Ann,Harbor,USA,2433.80,na,745,208,38,1994,2183,0,3,19.4064492,-102.0430476,2013
Sarov,Rus,2419.75,24,542,970,386,691,0,0,0,54.9342792,43.3252503,2013
Joao,Pessoa,Bra,2305.15,na,58,574,481,5425,184,0,0,-7.119495799999999,-34.8450118,2013
New,Vrindavan,USA,2289.00,-68,703,269,904,648,0,0,4,28.5558863,77.2539484,2013
Helsinki,Fin,2283.20,-19,409,1394,58,18,377,0,0,60.17332440000001,24.9410248,2013
Sao,Paulo,Bra,2195.75,na,87,1118,194,3227,0,0,0,37.30893,-121.932196,2013
Bogota,Col,2194.25,na,5,0,0,8737,0,0,0,4.710988599999999,-74.072092,2013
Porto,Alegre,Bra,2181.25,548,48,1083,22,3965,0,0,0,-33.941376,25.5712756,2013
Kinshasa,Con,2159.00,-20,672,240,140,820,3000,0,0,-4.4419311,15.2662931,2013
Houston,USA,2062.50,-30,792,233,147,680,20,0,6,29.7604267,-95.3698028,2013
Terni,Ita,2054.50,-82,950,0,309,0,0,0,0,42.5636168,12.6426604,2013
Kirov,Rus,1957.00,56,606,208,834,480,0,0,0,58.6035321,49.6667983,2013
Naperville,USA,1930.45,na,654,140,524,821,152,0,5,41.7973603,-88.1982352,2013
Manila,Phi,1818.55,na,152,703,155,1107,4573,0,0,14.5995124,120.9842195,2013
Cologne,Gaurade,Ger,1779.00,na,621,219,636,0,0,0,0,50.937531,6.9602786,2013
N-Tagil,Rus,1755.00,0,249,133,1145,2206,0,0,0,56.1445956,40.4178686,2013
Cintamani,Dhama,USA,1732.00,-77,484,619,200,180,0,0,3,10.8522731,78.68982729999999,2013
Magnitogorsk,Rus,1712.75,108,461,456,387,565,0,0,0,53.4129429,59.00162330000001,2013
Blagovestensk,Rus,1682.50,na,433,413,376,862,0,0,0,nodata-lat,nodata-lon,2013
Malaysia,TSKP,Mal,1661.50,-57,100,0,2923,0,0,0,5,4.210484,101.975766,2013
Krishna,Culture,USA,1623.55,-11,551,91,571,341,158,10,14,19.1130769,72.8262841,2013
Batticaloa,Sri,1532.25,-73,599,258,0,305,0,0,4,7.702789199999999,81.7155643,2013
Vologda,Rus,1523.75,na,339,381,595,669,0,0,0,59.21806649999999,39.8978052,2013
Gaborone,Bot,1518.00,na,430,280,230,904,370,0,0,-24.6525607,25.8988202,2013
Guyana,BTG,Team,Guy,1500.00,na,0,0,0,0,3600,600,0,nodata-lat,nodata-lon,2013
German,Congrega,Ger,1495.50,-30,401,423,541,0,0,0,0,52.5448365,13.4942561,2013
Bologna,Ita,1477.00,-59,531,0,830,0,0,0,0,44.494887,11.3426163,2013
Zurich,Swi,1399.00,29,364,468,397,18,0,0,4,47.3686498,8.539182499999999,2013
Tiraspol,Ukr,1348.00,-14,368,50,468,1312,0,0,0,46.84818500000001,29.596805,2013
Lagos,Nig,1324.00,na,259,482,431,432,5,0,0,6.5243793,3.3792057,2013
Tucson,USA,1320.15,na,178,163,556,1899,484,0,0,32.2217429,-110.926479,2013
Peru,TSKP,Per,1317.25,na,61,1,146,4485,0,0,0,-11.9456792,-76.7103034,2013
